images,values,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,tail,domestic,catsize,legs_0,legs_2,legs_4,legs_5,legs_6,legs_8
00\000000.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5535807,-0.7268438,0.9400643,0.82915616,0.47673127,0.47673127,-0.25649458,-0.45711622,0.591608,-0.39641246,1.2060454,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
01\000001.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,1.8064214,-0.7268438,-1.063757,-1.2060454,0.47673127,0.47673127,-0.25649458,-0.45711622,0.591608,2.522625,-0.82915616,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
06\000002.png,6,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5535807,1.3758115,0.9400643,-1.2060454,-2.0976176,-2.0976176,-0.25649458,-0.45711622,-1.6903085,-0.39641246,-0.82915616,-0.5535807,-0.591608,-0.7874008,-0.1118034,3.0207615,-0.1118034
01\000003.png,1,-0.8505317,2.0155644,0.82915616,-0.82915616,1.8064214,-0.7268438,0.9400643,-1.2060454,0.47673127,0.47673127,-0.25649458,-0.45711622,0.591608,-0.39641246,-0.82915616,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
00\000004.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5535807,-0.7268438,-1.063757,0.82915616,0.47673127,0.47673127,-0.25649458,-0.45711622,0.591608,-0.39641246,1.2060454,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000005.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5535807,-0.7268438,-1.063757,0.82915616,0.47673127,0.47673127,-0.25649458,-0.45711622,0.591608,-0.39641246,1.2060454,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
04\000006.png,4,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5535807,1.3758115,0.9400643,0.82915616,0.47673127,0.47673127,3.8987176,-0.45711622,-1.6903085,-0.39641246,-0.82915616,-0.5535807,-0.591608,1.2700013,-0.1118034,-0.33104235,-0.1118034
00\000007.png,0,1.1757351,-0.49613893,-1.2060454,1.2060454,-0.5535807,-0.7268438,-1.063757,0.82915616,0.47673127,0.47673127,-0.25649458,-0.45711622,-1.6903085,-0.39641246,1.2060454,-0.5535807,1.6903085,-0.7874008,-0.1118034,-0.33104235,-0.1118034
03\000008.png,3,-0.8505317,-0.49613893,0.82915616,-0.82915616,-0.5535807,1.3758115,-1.063757,0.82915616,0.47673127,-2.0976176,-0.25649458,2.1876276,0.591608,-0.39641246,-0.82915616,1.8064214,-0.591608,-0.7874008,-0.1118034,-0.33104235,-0.1118034
05\000009.png,5,1.1757351,-0.49613893,0.82915616,-0.82915616,1.8064214,-0.7268438,-1.063757,-1.2060454,-2.0976176,0.47673127,3.8987176,-0.45711622,-1.6903085,2.522625,-0.82915616,-0.5535807,-0.591608,-0.7874008,-0.1118034,3.0207615,-0.1118034
